Company,Symbol,companyLow,companyFinal
China Real Estate Information  (Inactive),CRIC,china real estate information  (inactive),china real estate
China Recycling Energy ,CREG,china recycling energy ,china recycling energy
China Shengda Packaging Group ,CPGI,china shengda packaging group ,china shengda packaging
China Techfaith Wireless Comm Tech ,CNTF,china techfaith wireless comm tech ,china techfaith wireless
China TransInfo Technology  (Inactive),CTFO,china transinfo technology  (inactive),china transinfo technology
China XD Plastics Co ,CXDC,china xd plastics co ,china xd plastics
China Yida Holding Co,CNYD,china yida holding co,china yida holding
ChinaCache International Holdings ,CCIH,chinacache international holdings ,chinacache international holdings
ChinaEdu oration (ADR) (Inactive),CEDU,chinaedu oration (adr) (inactive),chinaedu oration (adr)
Chinanet Online Holdings ,CNET,chinanet online holdings ,chinanet online holdings
Chindex International  (Inactive),CHDX,chindex international  (inactive),chindex international
ChipMOS TECHNOLOGIES   American Depositary Shares,IMOS,chipmos technologies   american depositary shares,chipmos technologies
Chipotle Mexican Grill,CMG,chipotle mexican grill,chipotle
Chromadex ,CDXC,chromadex ,chromadex
Chubb Limited,CB,chubb limited,chubb limited
Chukong Holdings  (ADR),NEXT,chukong holdings  (adr),chukong holdings
Church & Dwight,CHD,church & dwight,church & dwight
Churchill Downs ,CHDN,churchill downs ,churchill downs
Chuy's Holdings ,CHUY,chuy's holdings ,chuy's holdings
Chyronhego ,CHYR,chyronhego ,chyronhego
Cidara Therapeutics ,CDTX,cidara therapeutics ,cidara therapeutics
CIFC LLC,CIFC,cifc llc,cifc llc
CIGNA ,CI,cigna ,cigna
CIM Commercial Trust ,CMCT,cim commercial trust ,cim commercial trust
Cimatron ,CIMT,cimatron ,cimatron
Cimpress NV,CMPR,cimpress nv,cimpress nv
Cinnati Financial,CINF,cinnati financial,cinnati financial
Cinedigm ,CIDM,cinedigm ,cinedigm
Cintas oration,CTAS,cintas oration,cintas oration
Cirrus Logic ,CRUS,cirrus logic ,cirrus logic
CIS Acquisition ,CISAA,cis acquisition ,cis acquisition
Cisco Systems,CSCO,cisco systems,cisco systems
Citi Trends ,CTRN,citi trends ,citi trends
Citigroup ,C,citigroup ,citigroup
Citizens & Northern oration,CZNC,citizens & northern oration,citizens & northern
Citizens Community Ban ,CZWI,citizens community ban ,citizens community ban
Citizens Financial Group,CFG,citizens financial group,citizens financial group
Citizens First ,CZFC,citizens first ,citizens first
Citizens Holding Company,CIZN,citizens holding company,citizens holding company
Citizens Republic Ban  (Inactive),CRBC,citizens republic ban  (inactive),citizens republic ban
Citizens South Banking ,CSBC,citizens south banking ,citizens south banking
City Holding Company,CHCO,city holding company,city holding company
Civitas Therapeutics ,CVTS,civitas therapeutics ,civitas therapeutics
Clean Diesel Technologies ,CDTI,clean diesel technologies ,clean diesel technologies
Clean Energy Fuels ,CLNE,clean energy fuels ,clean energy fuels
Cleantech Solutions International ,CLNT,cleantech solutions international ,cleantech solutions international
Clearfield ,CLFD,clearfield ,clearfield
ClearOne oprorated,CLRO,clearone oprorated,clearone oprorated
Clearside Biomedical ,CLSD,clearside biomedical ,clearside biomedical
CLEARSIGN COMBUSTION ,CLIR,clearsign combustion ,clearsign combustion
Clearwire  (Inactive),CLWR,clearwire  (inactive),clearwire (inactive)
Cleveland BioLabs ,CBLI,cleveland biolabs ,cleveland biolabs
Clicksoftware Technologies ,CKSW,clicksoftware technologies ,clicksoftware technologies
Clifton Ban ,CSBK,clifton ban ,clifton ban
Clovis Oncology ,CLVS,clovis oncology ,clovis oncology
CM Finance ,CMFN,cm finance ,cm finance
CME Group ,CME,cme group ,cme group
CMS Ban ,CMSB,cms ban ,cms ban
CMS Energy,CMS,cms energy,cms energy
CNB Financial ,CCNE,cnb financial ,cnb financial
Cnova NV,CNV,cnova nv,cnova nv
Coastal Contacts ,COA,coastal contacts ,coastal contacts
Coastway Ban ,CWAY,coastway ban ,coastway ban
CoBiz Financial ,COBZ,cobiz financial ,cobiz financial
Cobra Electronics  (Inactive),COBR,cobra electronics  (inactive),cobra electronics
Coca-Cola Company,KO,coca-cola company,coca-cola company
CocaCola Bottling Co Consolidated,COKE,cocacola bottling co consolidated,cocacola bottling co
Codexis ,CDXS,codexis ,codexis
Codorus Valley Ban ,CVLY,codorus valley ban ,codorus valley ban
Coffee Holding Co ,JVA,coffee holding co ,coffee holding co
Cogent Communications Holdings ,CCOI,cogent communications holdings ,cogent communications holdings
Cogentix Medical ,CGNT,cogentix medical ,cogentix medical
Cogint ,COGT,cogint ,cogint
Cognex oration,CGNX,cognex oration,cognex oration
Cognizant Technology Solutions,CTSH,cognizant technology solutions,cognizant technology solutions
Coherent ,COHR,coherent ,coherent
Coherus Biosciences ,CHRS,coherus biosciences ,coherus biosciences
Cohu ,COHU,cohu ,cohu
Coleman Cable LLC (Inactive),CCIX,coleman cable llc (inactive),coleman cable llc
Colgate-Palmolive,CL,colgate-palmolive,colgate-palmolive
Collectors Universe ,CLCT,collectors universe ,collectors universe
Collegium Pharmaceutical ,COLL,collegium pharmaceutical ,collegium pharmaceutical
Colliers International Group ,CIGI,colliers international group ,colliers international group
Colonial Financial Services ,COBK,colonial financial services ,colonial financial services
Colony Bank ,CBAN,colony bank ,colony bank
CoLucid Pharmaceuticals ,CLCD,colucid pharmaceuticals ,colucid pharmaceuticals
Columbia Banking System ,COLB,columbia banking system ,columbia banking system
Columbia Sportswear Company,COLM,columbia sportswear company,columbia sportswear company
Columbus McKinnon ,CMCO,columbus mckinnon ,columbus mckinnon
CombiMatrix ,CBMX,combimatrix ,combimatrix
Comcast ,CMCSA,comcast ,comcast
Comcast oration,CMCSK,comcast oration,comcast oration
Comerica ,CMA,comerica ,comerica
Commerce Union Bancshares ,CUBN,commerce union bancshares ,commerce union bancshares
CommerceFirst Ban  (Inactive),CMFB,commercefirst ban  (inactive),commercefirst ban
Commercial Vehicle Group ,CVGI,commercial vehicle group ,commercial vehicle group
Commscope Holding Company ,COMM,commscope holding company ,commscope holding company
Communications Systems ,JCS,communications systems ,communications systems
Community Bankers Trust ,ESXB,community bankers trust ,community bankers trust
Community Capital oration (Inactive),CPBK,community capital oration (inactive),community capital oration
Community Choice Financial ,CCFI,community choice financial ,community choice financial
Community First Bancshares ,CFBI,community first bancshares ,community first bancshares
Community Trust Ban ,CTBI,community trust ban ,community trust ban
Community West Bancshares,CWBC,community west bancshares,community west bancshares
CommunityOne Ban,COB,communityone ban,communityone ban
CommVault Systems ,CVLT,commvault systems ,commvault systems
Complete Genomics ,GNOM,complete genomics ,complete genomics
Compugen  (USA),CGEN,compugen  (usa),compugen (usa)
Computer Programs & Systems ,CPSI,computer programs & systems ,computer programs &
Computer Task Group ,CTG,computer task group ,computer task group
Compuware oration (Inactive),CPWR,compuware oration (inactive),compuware oration (inactive)
Comstock Holding Companies ,CHCI,comstock holding companies ,comstock holding companies
Comtech Telecomm ,CMTL,comtech telecomm ,comtech telecomm
Comverge  (Inactive),COMV,comverge  (inactive),comverge (inactive)
Conagra Brands,CAG,conagra brands,conagra brands
Conatus Pharmaceuticals ,CNAT,conatus pharmaceuticals ,conatus pharmaceuticals
Concho Resources,CXO,concho resources,concho resources
Concordia International ,CXRX,concordia international ,concordia international
Concur Technologies ,CNQR,concur technologies ,concur technologies
Concurrent Computer ,CCUR,concurrent computer ,concurrent computer
ConforMIS ,CFMS,conformis ,conformis
Congatec Holding AG  ADR,CONG,congatec holding ag  adr,congatec holding ag
Conifer Holdings ,CNFR,conifer holdings ,conifer holdings
CONMED oration,CNMD,conmed oration,conmed oration
Conn's ,CONN,conn's ,conn's
Connecticut Water Service ,CTWS,connecticut water service ,connecticut water service
ConnectOne Ban ,CNOB,connectone ban ,connectone ban
Connecture ,CNXR,connecture ,connecture
ConocoPhillips,COP,conocophillips,conocophillips
Consolidated Communications Holdings ,CNSL,consolidated communications holdings ,consolidated communications holdings
Consolidated Edison,ED,consolidated edison,consolidated edison
Consolidated Water Co ,CWCO,consolidated water co ,consolidated water co
Constant Contact ,CTCT,constant contact ,constant contact
Constellation Brands,STZ,constellation brands,constellation brands
Consumer Portfolio Services ,CPSS,consumer portfolio services ,consumer portfolio services
ContraVir Pharmaceuticals ,CTRV,contravir pharmaceuticals ,contravir pharmaceuticals
Control4 ,CTRL,control4 ,control4
Conversant  (Inactive),CNVR,conversant  (inactive),conversant (inactive)
Convio ,CNVO,convio ,convio
Copano Energy LLC,CPNO,copano energy llc,copano energy llc
Copart ,CPRT,copart ,copart
Corbus Pharmaceuticals Holdings ,CRBP,corbus pharmaceuticals holdings ,corbus pharmaceuticals holdings
Corcept Therapeutics orporated,CORT,corcept therapeutics orporated,corcept therapeutics orporated
Cordia Ban ,BVA,cordia ban ,cordia ban
CoreMark Holding Company ,CORE,coremark holding company ,coremark holding company
Corium International ,CORI,corium international ,corium international
Cornerstone OnDemand ,CSOD,cornerstone ondemand ,cornerstone ondemand
Corning ,GLW,corning ,corning
Corsair Components ,CRSR,corsair components ,corsair components
Corteva,CTVA,corteva,corteva
CorVel oration,CRVL,corvel oration,corvel oration
Corvus Pharmaceuticals ,CRVS,corvus pharmaceuticals ,corvus pharmaceuticals
Cost Plus ,CPWM,cost plus ,cost plus
Costa  (Inactive),ATX,costa  (inactive),costa (inactive)
CoStar Group ,CSGP,costar group ,costar group
Costco Wholesale ,COST,costco wholesale ,costco wholesale
Coty ,COTY,coty ,coty
CounterPath ,CPAH,counterpath ,counterpath
County Ban ,ICBK,county ban ,county ban
Coupa Software ,COUP,coupa software ,coupa software
Courier oration,CRRC,courier oration,courier oration
Covenant Transportation Group ,CVTI,covenant transportation group ,covenant transportation group
Covisint ,COVS,covisint ,covisint
Cowen ,COWN,cowen ,cowen
CPI Card Group ,PMTS,cpi card group ,cpi card group
CPS Technologies oration,CPSH,cps technologies oration,cps technologies oration
CRA International ,CRAI,cra international ,cra international
Cracker Barrel Old Country Store ,CBRL,cracker barrel old country store ,cracker barrel old
Craft Brew Alliance ,BREW,craft brew alliance ,craft brew alliance
Cray ,CRAY,cray ,cray
Credit Acceptance ,CACC,credit acceptance ,credit acceptance
Cree ,CREE,cree ,cree
Cresud SACIF y A (ADR),CRESY,cresud sacif y a (adr),cresud sacif y
Crimson Exploration ,CXPO,crimson exploration ,crimson exploration
Crispr Therapeutics AG,CRSP,crispr therapeutics ag,crispr therapeutics ag
Criteo SA (ADR),CRTO,criteo sa (adr),criteo sa (adr)
Crocs ,CROX,crocs ,crocs
Cross Country Healthcare ,CCRN,cross country healthcare ,cross country healthcare
Crossroads Capital ,XRDC,crossroads capital ,crossroads capital
Crown Castle International ,CCI,crown castle international ,crown castle international
Crown Crafts ,CRWS,crown crafts ,crown crafts
Crown Media Holdings ,CRWN,crown media holdings ,crown media holdings
CryoPort ,CYRX,cryoport ,cryoport
CSG Systems International ,CSGS,csg systems international ,csg systems international
CSI Compressco ,CCLP,csi compressco ,csi compressco
CSP ,CSPI,csp ,csp
CSR  (ADR),CSRE,csr  (adr),csr (adr)
CSW Industrials ,CSWI,csw industrials ,csw industrials
CSX ,CSX,csx ,csx
CTC Media ,CTCM,ctc media ,ctc media
CTI BioPharma ,CTIC,cti biopharma ,cti biopharma
CTI Industries ,CTIB,cti industries ,cti industries
Ctrip International  (ADR),CTRP,ctrip international  (adr),ctrip international
CTS Vaey  (Inactive),VPF,cts vaey  (inactive),cts vaey
CU Ban,CUNB,cu ban,cu ban
Cubist Pharmaceuticals  (Inactive),CBST,cubist pharmaceuticals  (inactive),cubist pharmaceuticals
CUI Global ,CUI,cui global ,cui global
Cumberland Pharmaceuticals ,CPIX,cumberland pharmaceuticals ,cumberland pharmaceuticals
Cummins ,CMI,cummins ,cummins
Cumulus Media ,CMLS,cumulus media ,cumulus media
Curis ,CRIS,curis ,curis
Cutera ,CUTR,cutera ,cutera
CVB Financial ,CVBF,cvb financial ,cvb financial
CVD Equipment oration,CVV,cvd equipment oration,cvd equipment oration
CVS Health,CVS,cvs health,cvs health
CYANOTECH ,CYAN,cyanotech ,cyanotech
Cyberark Software ,CYBR,cyberark software ,cyberark software
Cyberonics ,CYBX,cyberonics ,cyberonics
CyberOptics oration,CYBE,cyberoptics oration,cyberoptics oration
Cybex International  (Inactive),CYBI,cybex international  (inactive),cybex international
CymaBay Therapeutics ,CBAY,cymabay therapeutics ,cymabay therapeutics
Cymer ,CYMI,cymer ,cymer
Cynapsus Therapeutics ,CYNA,cynapsus therapeutics ,cynapsus therapeutics
Cynosure ,CYNO,cynosure ,cynosure
Cypress Semiconductor oration,CY,cypress semiconductor oration,cypress semiconductor oration
Cyren ,CYRN,cyren ,cyren
CyrusOne ,CONE,cyrusone ,cyrusone
Cytokinetics ,CYTK,cytokinetics ,cytokinetics
CytomX Therapeutics ,CTMX,cytomx therapeutics ,cytomx therapeutics
Cytori Therapeutics ,CYTX,cytori therapeutics ,cytori therapeutics
Cytosorbents ,CTSO,cytosorbents ,cytosorbents
CytRx oration,CYTR,cytrx oration,cytrx oration
D R Horton,DHI,d r horton,d r horton
Daily Journal oration,DJCO,daily journal oration,daily journal oration
Daktronics ,DAKT,daktronics ,daktronics
Danaher ,DHR,danaher ,danaher
DARA Biosciences ,DARA,dara biosciences ,dara biosciences
Darden Restaurants,DRI,darden restaurants,darden restaurants
DarioHealth ,DRIO,dariohealth ,dariohealth
DASAN Zhone Solutions ,DZSI,dasan zhone solutions ,dasan zhone solutions
Data I/O oration,DAIO,data i/o oration,data i/o oration
Datalink oration,DTLK,datalink oration,datalink oration
Dataram ,DRAM,dataram ,dataram
Datawatch oration,DWCH,datawatch oration,datawatch oration
Dave & Buster's Entertainment ,PLAY,dave & buster's entertainment ,dave & buster's
DavidsTea ,DTEA,davidstea ,davidstea
DaVita ,DVA,davita ,davita
Dawson Geophysical Co,DWSN,dawson geophysical co,dawson geophysical co
DBV Technologies SA  ADR,DBVT,dbv technologies sa  adr,dbv technologies sa
DealerTrack Technologies ,TRAK,dealertrack technologies ,dealertrack technologies
Deere & Co,DE,deere & co,deere & co
Del Frisco's Restaurant Group ,DFRG,del frisco's restaurant group ,del frisco's restaurant
Delcath Systems ,DCTH,delcath systems ,delcath systems
Dell ,DELL,dell ,dell
Dell Software  (Inactive),QSFT,dell software  (inactive),dell software
DelMar Pharmaceuticals ,DMPI,delmar pharmaceuticals ,delmar pharmaceuticals
Delta Air Lines ,DAL,delta air lines ,delta air lines
Delta Natural Gas Company ,DGAS,delta natural gas company ,delta natural gas
Delta Technology Holdings ,CISAU,delta technology holdings ,delta technology holdings
Deltek ,PROJ,deltek ,deltek
DemandTec  (Inactive),DMAN,demandtec  (inactive),demandtec (inactive)
Denny's oration,DENN,denny's oration,denny's oration
Dentsply Sirona,XRAY,dentsply sirona,dentsply sirona
Depomed ,DEPO,depomed ,depomed
Derma Sciences ,DSCI,derma sciences ,derma sciences
Dermira ,DERM,dermira ,dermira
Descartes Systems Group  (USA),DSGX,descartes systems group  (usa),descartes systems group
Destination Maternity ,DEST,destination maternity ,destination maternity
Destination XL Group ,DXLG,destination xl group ,destination xl group
Deswell Industries ,DSWL,deswell industries ,deswell industries
Determine ,DTRM,determine ,determine
Devon Energy,DVN,devon energy,devon energy
DexCom,DXCM,dexcom,dexcom
Dextera Surgical ,DXTR,dextera surgical ,dextera surgical
DFC Global  (Inactive),DLLR,dfc global  (inactive),dfc global
DHX Media  (USA),DHXM,dhx media  (usa),dhx media
Diamond Foods ,DMND,diamond foods ,diamond foods
Diamond Hill Investment Group ,DHIL,diamond hill investment group ,diamond hill investment
Diamondback Energy,FANG,diamondback energy,diamondback energy
Diana Containerships ,DCIX,diana containerships ,diana containerships
Dicerna Pharmaceuticals ,DRNA,dicerna pharmaceuticals ,dicerna pharmaceuticals
Differential Brands Group ,DFBG,differential brands group ,differential brands group
Diffusion Pharmaceuticals ,DFFN,diffusion pharmaceuticals ,diffusion pharmaceuticals
Digi International ,DGII,digi international ,digi international
Digiliti Money Group ,DGLT,digiliti money group ,digiliti money group
Digimarc ,DMRC,digimarc ,digimarc
Digirad oration,DRAD,digirad oration,digirad oration
Digital Ally ,DGLY,digital ally ,digital ally
Digital Cinema Destinations ,DCIN,digital cinema destinations ,digital cinema destinations
Digital Generation  (Inactive),DGIT,digital generation  (inactive),digital generation
Digital Realty Trust ,DLR,digital realty trust ,digital realty trust
Digital River ,DRIV,digital river ,digital river
Digital Turbine ,APPS,digital turbine ,digital turbine
Dime Community Bancshares ,DCOM,dime community bancshares ,dime community bancshares
Dimension Therapeutics ,DMTX,dimension therapeutics ,dimension therapeutics
Diodes orporated,DIOD,diodes orporated,diodes orporated
DIRECTV,DTV,directv,directv
Discover Financial Services,DFS,discover financial services,discover financial services
Discovery Communications ,DISCB,discovery communications ,discovery communications
Dish Network,DISH,dish network,dish network
Ditech Networks  (Inactive),DITC,ditech networks  (inactive),ditech networks
Diversicare Healthcare Services ,DVCR,diversicare healthcare services ,diversicare healthcare services
Diversified Restaurant Holdings ,SAUC,diversified restaurant holdings ,diversified restaurant holdings
Dixie Group ,DXYN,dixie group ,dixie group
DLH Holdings ,DLHC,dlh holdings ,dlh holdings
Dmc Global ,BOOM,dmc global ,dmc global
DNB Financial ,DNBF,dnb financial ,dnb financial
Dollar General,DG,dollar general,dollar general
Dollar Tree,DLTR,dollar tree,dollar tree
Dominion Energy,D,dominion energy,dominion energy
Domino's Pizza,DPZ,domino's pizza,domino's pizza
Dorchester Minerals ,DMLP,dorchester minerals ,dorchester minerals
Dorman Products ,DORM,dorman products ,dorman products
Dot Hill Systems ,HILL,dot hill systems ,dot hill systems
Dover oration,DOV,dover oration,dover oration
Dover Saddlery ,DOVR,dover saddlery ,dover saddlery
Dow ,DOW,dow ,dow
DragonWave (USA),DRWI,dragonwave (usa),dragonwave (usa)
DreamWorks Animation LLC,DWA,dreamworks animation llc,dreamworks animation llc
DryShips ,DRYS,dryships ,dryships
DSP Group ,DSPG,dsp group ,dsp group
DTE Energy Co,DTE,dte energy co,dte energy co
DTLR Holding ,DTLR,dtlr holding ,dtlr holding
DTS ,DTSI,dts ,dts
Duke Energy,DUK,duke energy,duke energy
Duke Realty ,DRE,duke realty ,duke realty
Duluth Holdings ,DLTH,duluth holdings ,duluth holdings
Dunkin Brands Group ,DNKN,dunkin brands group ,dunkin brands group
DuPont de Nemours ,DD,dupont de nemours ,dupont de nemours
Durata Therapeutics ,DRTX,durata therapeutics ,durata therapeutics
DURECT oration,DRRX,durect oration,durect oration
DXC Technology,DXC,dxc technology,dxc technology
DXP Enterprises ,DXPE,dxp enterprises ,dxp enterprises
Dyax ,DYAX,dyax ,dyax
Dynamics Research oration (Inactive),DRCO,dynamics research oration (inactive),dynamics research oration
Dynasil oration of America,DYSL,dynasil oration of america,dynasil oration of
Dynatronics oration,DYNT,dynatronics oration,dynatronics oration
Dynavax Technologies oration,DVAX,dynavax technologies oration,dynavax technologies oration
E*Trade,ETFC,e*trade,e*trade
E2open ,EOPN,e2open ,e2open
Eagle Ban ,EGBN,eagle ban ,eagle ban
Eagle Ban Montana ,EBMT,eagle ban montana ,eagle ban montana
Eagle Bulk Shipping ,EGLE,eagle bulk shipping ,eagle bulk shipping
Eagle Pharmaceuticals ,EGRX,eagle pharmaceuticals ,eagle pharmaceuticals
Eagle Rock Energy Partners LP,EROC,eagle rock energy partners lp,eagle rock energy
EarthLink Holdings ,ELNK,earthlink holdings ,earthlink holdings
East West Ban ,EWBC,east west ban ,east west ban
Easterly Acquisition ,EACQU,easterly acquisition ,easterly acquisition
Eastern Co,EML,eastern co,eastern co
Eastern Insurance Holdings  (Inactive),EIHI,eastern insurance holdings  (inactive),eastern insurance holdings
Eastern Virginia Bankshares ,EVBS,eastern virginia bankshares ,eastern virginia bankshares
Eastman Chemical,EMN,eastman chemical,eastman chemical
EasyLink Services International ,ESIC,easylink services international ,easylink services international
Eaton oration,ETN,eaton oration,eaton oration
eBay ,EBAY,ebay ,ebay
Ebix ,EBIX,ebix ,ebix
Echelon oration,ELON,echelon oration,echelon oration
Echo Global Logistics ,ECHO,echo global logistics ,echo global logistics
Echostar oration,SATS,echostar oration,echostar oration
Ecolab ,ECL,ecolab ,ecolab
Ecology and Environment,EEI,ecology and environment,ecology and environment
ECompass Acquisition ,ECACU,ecompass acquisition ,ecompass acquisition
EcoStim Energy Solutions ,ESES,ecostim energy solutions ,ecostim energy solutions
EDAC Technologies  (Inactive),EDAC,edac technologies  (inactive),edac technologies
Edap Tms SA (ADR),EDAP,edap tms sa (adr),edap tms sa
Edelman Financial Group  (The),EF,edelman financial group  (the),edelman financial group
EDGAR Online  (Inactive),EDGR,edgar online  (inactive),edgar online
Edge Therapeutics ,EDGE,edge therapeutics ,edge therapeutics
Edgewater Technology ,EDGW,edgewater technology ,edgewater technology
eDiets ,DIET,ediets ,ediets
Edison Int'l,EIX,edison int'l,edison int'l
Editas Medicine ,EDIT,editas medicine ,editas medicine
Educational Development oration,EDUC,educational development oration,educational development oration
Edwards Group   ADR,EVAC,edwards group   adr,edwards group
Edwards Lifesciences,EW,edwards lifesciences,edwards lifesciences
eFuture Holding ,EFUT,efuture holding ,efuture holding
eGain ,EGAN,egain ,egain
Egalet ,EGLT,egalet ,egalet
eHealth ,EHTH,ehealth ,ehealth
Eiger Biopharmaceuticals ,EIGR,eiger biopharmaceuticals ,eiger biopharmaceuticals
Einstein Noah Restaurant Group  (Inactive),BAGL,einstein noah restaurant group  (inactive),einstein noah restaurant
Ekso Bionics Holdings ,EKSO,ekso bionics holdings ,ekso bionics holdings
El Pollo LoCo Holdings ,LOCO,el pollo loco holdings ,el pollo loco
Elbit Imaging ,EMITF,elbit imaging ,elbit imaging
Elbit Systems ,ESLT,elbit systems ,elbit systems
Eldorado Resorts ,ERI,eldorado resorts ,eldorado resorts
Elecsys  (Inactive),ESYS,elecsys  (inactive),elecsys (inactive)
Electro Rent oration,ELRC,electro rent oration,electro rent oration
Electro Scientific Industries ,ESIO,electro scientific industries ,electro scientific industries
Electronic Arts,EA,electronic arts,electronic arts
Electronics For Imaging ,EFII,electronics for imaging ,electronics for imaging
ElectroSensors ,ELSE,electrosensors ,electrosensors
Eleven Biotherapeutics ,EBIO,eleven biotherapeutics ,eleven biotherapeutics
Elizabeth Arden ,RDEN,elizabeth arden ,elizabeth arden
Elkhorn Commodity Rotation Strategy ETF,DWAC,elkhorn commodity rotation strategy etf,elkhorn commodity rotation
Elkhorn S&P 500 Capital Expenditures Portfolio,CAPX,elkhorn s&p 500 capital expenditures portfolio,elkhorn s&p 500
Elmira Savings Bank,ESBK,elmira savings bank,elmira savings bank
eLong  (ADR),LONG,elong  (adr),elong (adr)
Eloqua ,ELOQ,eloqua ,eloqua
Eltek ,ELTK,eltek ,eltek
EMC Insurance Group ,EMCI,emc insurance group ,emc insurance group
Emclaire Financial ,EMCF,emclaire financial ,emclaire financial
EMCORE oration,EMKR,emcore oration,emcore oration
Emerson Electric Company,EMR,emerson electric company,emerson electric company
Emmis Communications oration,EMMS,emmis communications oration,emmis communications oration
Empire Resorts ,NYNY,empire resorts ,empire resorts
Empire Resources ,ERS,empire resources ,empire resources
Enanta Pharmaceuticals ,ENTA,enanta pharmaceuticals ,enanta pharmaceuticals
Encore Bancshares  (Inactive),EBTX,encore bancshares  (inactive),encore bancshares
Encore Capital Group ,ECPG,encore capital group ,encore capital group
Encore Wire oration,WIRE,encore wire oration,encore wire oration
Endo International   Ordinary Shares,ENDP,endo international   ordinary shares,endo international
Endocyte ,ECYT,endocyte ,endocyte
Endologix ,ELGX,endologix ,endologix
Endostim ,STIM,endostim ,endostim
Endurance International Group Hldgs ,EIGI,endurance international group hldgs ,endurance international group
Energous ,WATT,energous ,energous
Energy Focus ,EFOI,energy focus ,energy focus
Energy Hunter Resources  Common Stock,EHR,energy hunter resources  common stock,energy hunter resources
Energy Recovery ,ERII,energy recovery ,energy recovery
Energy XXI Gulf Coast ,EXXI,energy xxi gulf coast ,energy xxi gulf
Enerkem ,NRKM,enerkem ,enerkem
EnerNOC ,ENOC,enernoc ,enernoc
ENGlobal ,ENG,englobal ,englobal
Enlink Midstream ,XTXI,enlink midstream ,enlink midstream
Enphase Energy ,ENPH,enphase energy ,enphase energy
Ensign Group ,ENSGV,ensign group ,ensign group
Enstar Group ,ESGR,enstar group ,enstar group
Entegra Financial ,ENFC,entegra financial ,entegra financial
Entegris ,ENTG,entegris ,entegris
Entellus Medical ,ENTL,entellus medical ,entellus medical
Entergy ,ETR,entergy ,entergy
EnteroMedics ,ETRM,enteromedics ,enteromedics
Enterprise Ban ,EBTC,enterprise ban ,enterprise ban
Enterprise Financial Services ,EFSC,enterprise financial services ,enterprise financial services
Entertainment Gaming Asia ,EGT,entertainment gaming asia ,entertainment gaming asia
Entropic Communications ,ENTR,entropic communications ,entropic communications
Enventis  (Inactive),ENVE,enventis  (inactive),enventis (inactive)
Envision Healthcare ,AMSG,envision healthcare ,envision healthcare
Envivio ,ENVI,envivio ,envivio
Enzymotec ,ENZY,enzymotec ,enzymotec
EOG Resources,EOG,eog resources,eog resources
EPIQ Systems ,EPIQ,epiq systems ,epiq systems
Epizyme ,EPZM,epizyme ,epizyme
ePlus ,PLUS,eplus ,eplus
Epoch Holding ,EPHC,epoch holding ,epoch holding
Epocrates ,EPOC,epocrates ,epocrates
Equifax ,EFX,equifax ,equifax
Equinix,EQIX,equinix,equinix
Equitable Financial ,EQFN,equitable financial ,equitable financial
Equity BancShares ,EQBK,equity bancshares ,equity bancshares
Equity Residential,EQR,equity residential,equity residential
eResearch Technology  (Inactive),ERT,eresearch technology  (inactive),eresearch technology
Erie Indemnity Company,ERIE,erie indemnity company,erie indemnity company
ESB Financial oration,ESBF,esb financial oration,esb financial oration
Escalade ,ESCA,escalade ,escalade
Esperion Therapeutics ,ESPR,esperion therapeutics ,esperion therapeutics
ESSA Ban ,ESSA,essa ban ,essa ban
ESSA Pharma ,EPIX,essa pharma ,essa pharma
Essendant ,ESND,essendant ,essendant
Essex Property Trust ,ESS,essex property trust ,essex property trust
Estê©e Lauder Companies,EL,estæ©e lauder companies,estæ©e lauder companies
Etre Reit LLC,ECAV,etre reit llc,etre reit llc
Etsy ,ETSY,etsy ,etsy
Euro Tech Holdings Company ,CLWT,euro tech holdings company ,euro tech holdings
Euronet Worldwide ,EEFT,euronet worldwide ,euronet worldwide
Euroseas ,ESEA,euroseas ,euroseas
EV Energy Partners LP,EVEP,ev energy partners lp,ev energy partners
Everbridge ,EVBG,everbridge ,everbridge
Everest Re Group Ltd,RE,everest re group ltd,everest re group
EverGlory International Group ,EVK,everglory international group ,everglory international group
Evergy,EVRG,evergy,evergy
Eversource Energy,ES,eversource energy,eversource energy
Everspin Technologies ,MRAM,everspin technologies ,everspin technologies
EVINE Live ,EVLV,evine live ,evine live
Evogene ,EVGN,evogene ,evogene
Evoke Pharma ,EVOK,evoke pharma ,evoke pharma
Evolving Systems ,EVOL,evolving systems ,evolving systems
Exa ,EXA,exa ,exa
EXACT Sciences oration,EXAS,exact sciences oration,exact sciences oration
Exactech ,EXAC,exactech ,exactech
Exagen Diagnostics ,EXDX,exagen diagnostics ,exagen diagnostics
Exelixis ,EXEL,exelixis ,exelixis
Exelon ,EXC,exelon ,exelon
Exfo ,EXFO,exfo ,exfo
ExlService Holdings ,EXLS,exlservice holdings ,exlservice holdings
ExOne Co,XONE,exone co,exone co
Expedia Group,EXPE,expedia group,expedia group
Expeditors,EXPD,expeditors,expeditors
Exponent ,EXPO,exponent ,exponent
Express Scripts Holding Company,ESRX,express scripts holding company,express scripts holding
Extra Space Storage,EXR,extra space storage,extra space storage
Extraction Oil & Gas ,XOG,extraction oil & gas ,extraction oil &
Extreme Networks ,EXTR,extreme networks ,extreme networks
Exxon Mobil ,XOM,exxon mobil ,exxon mobil
